,score_2,td_err_2
226,14,23.715733174413984
227,25,17.804044484329957
228,23,20.06170481290162
229,36,16.77247745564143
230,21,19.017570822794376
231,29,16.290488022155753
232,18,20.75899804903888
233,24,16.97515832032208
234,9,16.46049816986108
235,10,10.848041297856494
236,24,16.506241243844705
237,39,18.882478650855138
238,24,24.867649667791284
239,27,38.568225263810106
240,23,33.371664627345154
241,46,24.515056597935892
242,26,29.209998288257395
243,11,33.83205580510886
244,25,25.98538050519946
245,19,29.128130733021642
246,35,26.30361191927831
247,34,34.939089856491684
248,40,31.596582093637913
249,18,30.251280964613713
250,30,42.07307927879774
251,30,41.512696852890684
252,25,29.56423514992397
253,9,29.585604607646605
254,10,50.53790656527039
255,31,33.57505026057296
256,19,32.93666649799278
257,29,39.25562380092819
258,28,32.85178838358728
259,34,30.149825870143925
260,30,33.17444799842192
261,20,26.52440385757991
262,51,24.007748749101818
263,29,21.841336955415528
264,37,16.580711685570073
265,18,25.0583319476776
266,9,18.721752054762398
267,12,16.88893128649649
268,10,19.38803754896302
269,9,21.51390248188366
270,31,22.830681111171433
271,10,21.55198366740287
272,76,28.53552172293333
273,31,19.40206174611348
274,18,24.104024560226453
275,10,20.61678927476342
276,11,22.83129431285051
277,95,20.280335302948025
278,9,16.403292352451686
279,30,20.20316806839957
280,26,20.400686262966744
281,19,23.877772090377277
282,16,21.684648948046174
283,27,15.692673449734434
284,29,14.516335625770024
285,41,10.915860021088582
286,31,15.104833663433702
287,36,9.122938123214473
288,26,9.02219485491197
289,11,13.543559354911102
290,30,15.228525864311358
291,22,12.640727827146664
292,22,11.158136045056988
293,25,12.661911388096192
294,41,10.620169490172932
295,9,12.737660695747865
296,19,15.054700262708653
297,9,18.748119905739884
298,13,23.020599470908657
299,10,21.143415050554154
