decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,min_score,action_space,qrtm_n_clauses,ta_states,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
EDF,0.01,0.01,0.99,0,0,0,1,10000,100,300,1,1,-1,2,512,8,256,500,0,0.0,20210512_170757,4,True,False,Q
EDF,0.01,0.01,0.99,0,0,0,1,10000,10,300,1,1,-1,2,32,8,16,500,0,0.0,20210512_191100,4,True,False,G
EDF,0.01,0.01,0.99,0,0,0,1,10000,10,300,1,1,-1,2,256,8,128,500,0,0.0,20210512_201509,4,True,False,G
EDF,0.01,0.01,0.99,0,0,0,1,10000,10,300,1,1,-1,2,256,8,128,500,0,0.0,20210513_101018,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,8,128,500,0,0.0,20210513_102645,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,50,8,25,500,0,0.0,20210513_120615,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,50,100,1,1,-1,2,50,8,25,500,0,0.0,20210513_123845,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,50,100,1,1,-1,2,50,8,25,500,0,0.0,20210513_124540,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,8,128,500,0,0.0,20210513_125234,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,100,-1,2,50,8,25,500,0,0.0,20210513_150003,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,100,-1,2,500,8,250,500,0,0.0,20210513_152106,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,100,-1,2,500,8,250,500,0,0.0,20210513_171248,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,200,-1,2,500,8,250,500,0,0.0,20210513_183559,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,200,-1,2,2,8,1,5000,0,0.0,20210513_195719,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,200,-1,2,2,8,1,5,0,0.0,20210513_203216,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,100,-1,2,2,8,1,5,0,0.0,20210514_112729,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,100,-1,2,20,8,10,5,1,0.0033333333333333335,20210514_114236,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,100,-1,2,20,8,10,50,1,0.0033333333333333335,20210514_121425,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,100,-1,2,20,8,10,500,0,0.0,20210514_130022,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,100,-1,2,20,8,10,100,0,0.0,20210514_132740,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,100,-1,2,200,8,100,50,0,0.0,20210514_134852,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,100,-1,2,200,8,200,50,0,0.0,20210514_145345,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,100,-1,2,200,8,200,50000,0,0.0,20210515_113850,4,True,False,G
